# 3000 candidates (of 97661 native,tatsama,deshi,tadbhava-tagged words scanned), sorted by loanword-likelihood
# score	word	phoneme	tag	trigger_window
1.8671	অপারেটরা	o p a r e T r a	native	eTr
1.8671	উইকেটরক্ষক	u i k e T r o kkh O k	tatsama	eTr
1.8671	উইকেটরক্ষককে	u i k e T r o kkh o k k e	tatsama	eTr
1.8671	উইকেটরক্ষকের	u i k e T r o kkh O k e r	tatsama	eTr
1.8579	এড	e D	native	eD
1.8526	প্যাটরা	p A T r a	native	ATr
1.8377	পাইরেটসের	p a i r e T s e r	native	Tse
1.8377	পার্টসের	p a r T s e r	native	Tse
1.8307	সেটটিতে	s e T T i t e	native	seT
1.8307	সেটসহ	s e T sh o h O	native	seT
1.8307	সেটেই	s e T e i	native	seT
1.8191	বাল্কহেডটি	b a l k h e D T i	native	eDT
1.8118	ওয়ারড্রোব	O y a r D r O b	native	rDr
1.8118	পোলার্ডরা	p O l a r D r a	native	rDr
1.8108	শেয়ারহোল্ডিং	sh e y a r h O l D i ng	native	lDi
1.8108	বুকবিল্ডিং	b u k b i l D i ng	native	lDi
1.7999	কাষ্ঠল	k a s Th O l	tatsama	asT
1.7979	বাক্স্বাধিনতা	b a k s a dh i n o t a	tatsama	ksa
1.7752	পোলার্ডকে	p O l a r D k e	native	rDk
1.7748	ইডরা	i D r a	native	iDr
1.7748	ইডরাকে	i D r a k e	native	iDr
1.7748	ইডরার	i D r a r	native	iDr
1.7740	শেক্সপিয়র	sh e k s p i y o r	native	ksp
1.7709	কাভার্ডভ্যান	k a bh a r D bh A n	native	rDb
1.7476	অর্ডিনারি	O r D i n a r i	native	rDi
1.7476	অর্ডিনেটর	O r D i n e T o r	native	rDi
1.7476	অর্ডিনেশন	O r D i n e sh o n	native	rDi
1.7476	আরডি	a r D i	native	rDi
1.7476	টুর্ডি	T u r D i	native	rDi
1.7476	টুর্ডিকে	T u r D i k e	native	rDi
1.7476	টুর্ডির	T u r D i r	native	rDi
1.7476	ডেরডিয়োক	D e r D i y O k	native	rDi
1.7476	প্রাইমরডিয়াল	pr a i m o r D i y a l	native	rDi
1.7475	পিডিএ	p i D i e	native	Die
1.7475	পিডিএফ	p i D i e ph	native	Die
1.7415	কিডনি	k i D n i	native	iDn
1.7415	কিডনী	k i D n i	native	iDn
1.7294	ফ্যাশনসচেতন	ph A sh o n s o ch e t O n	native	nso
1.7278	রিডলে	r i D l e	native	iDl
1.6854	সেনাক্যাম্প	sh e n a k A mp	native	kAm
1.6854	সেনাক্যাম্পে	sh e n a k A mp e	native	kAm
1.6845	এজেন্সিজ	e j e n s i j	native	nsi
1.6845	এজেন্সিজের	e j e n s i j e r	native	nsi
1.6845	ফরেনসিক	ph o r e n s i k	native	nsi
1.6845	ফিনানসিয়াল	ph i n a n s i a l	native	nsi
1.6845	বিএনসি	b i e n s i	native	nsi
1.6845	বিএনসিসি	b i e n s i s i	native	nsi
1.6845	বিএনসিসিআই	b i e n s i s i a i	native	nsi
1.6845	বিএনসিসির	b i e n s i s i r	native	nsi
1.6761	ওয়াসেল	O y a s e l	native	sel
1.6761	পার্সেলের	p a r s e l e r	native	sel
1.6761	বিএসএল	b i e s e l	native	sel
1.6761	বিজিএসএলের	b i j i e s e l e r	native	sel
1.6761	পিএলএফএসএল	p i e l e ph e s e l	native	sel
1.6668	কাকফিল্ডে	k a k ph i l D e	native	lDe
1.6560	প্যারামেডিক	p A r a m e D i k	native	eDi
1.6560	অর্থোপেডিক	o r th O p e D i k	native	eDi
1.6560	অর্থোপেডিকস	o r th O p e D i k sh	native	eDi
1.6560	আরজেডি	a r j e D i	native	eDi
1.6560	আরজেডির	a r j e D i r	native	eDi
1.6560	ইউনিক্রেডিট	i u n i kr e D i T	native	eDi
1.6560	এডি	e D i	native	eDi
1.6560	এডিট	e D i T	native	eDi
1.6560	এডিটিং	e D i T i ng	native	eDi
1.6560	এডিটোরিয়েল	e D i T O r i y e l	native	eDi
1.6560	রেডি	r e D i	native	eDi
1.6560	রেডিও	r e D i O	native	eDi
1.6560	রেডিওতে	r e D i O t e	native	eDi
1.6560	রেডিওলজি	r e D i O l O j i	native	eDi
1.6560	কেনেডি	k e n e D i	native	eDi
1.6560	পিএডি	p i e D i	native	eDi
1.6560	পিএডির	p i e D i r	native	eDi
1.6560	পেডিকিউর	p e D i k i u r	native	eDi
1.6560	পেডিকিওর	p e D i k i O r	native	eDi
1.6560	বেডি	b e D i	native	eDi
1.6560	বেডির	b e D i r	native	eDi
1.6560	লেডিরোজেটা	l e D i r O j e T a	native	eDi
1.6486	অর্ডিনেটিং	O r D e n e T i ng	native	rDe
1.6486	কনকর্ডের	k o n k o r D e r	native	rDe
1.6486	শিক্ষাবোর্ডে	sh i kkh a b O r D e	tatsama	rDe
1.6486	কিবোর্ডে	k i b O r D e	native	rDe
1.6486	কিবোর্ডের	k i b O r D e r	native	rDe
1.6486	গিলার্ডের	g i l a r D e r	native	rDe
1.6486	পাসওয়ার্ডের	p a s O y a r D e r	native	rDe
1.6486	পোলার্ডের	p O l a r D e r	native	rDe
1.6486	ফদনারডেইল	ph o d o n a r D e i l	native	rDe
1.6486	বিশ্বরেকর্ডের	b i sh sh O r e k O r D e r	tatsama	rDe
1.6486	শিক্ষাবোর্ডের	sh i kkh a b O r D e r	tatsama	rDe
1.6486	সার্ডের	sh a r D e r	native	rDe
1.6471	ইউনাইটেডকে	i u n a i T e D k e	native	eDk
1.6370	লাইসেন্সকৃত	l a i s e n s k ri t O	tatsama	sensk
1.6259	ইপিজেডে	i p i j e D e	native	eDe
1.6259	ইউনাইটেডে	i u n a i T e D e	native	eDe
1.6259	ইউনাইটেডের	i u n a i T e D e r	native	eDe
1.6259	হেডে	h e D e	native	eDe
1.6259	হেডের	h e D e r	native	eDe
1.6259	ক্রেডেনশিয়াল	kr e D e n sh i y a l	native	eDe
1.6232	পুশিক্যাট	p u sh i k A T	native	kAT
1.5970	ক্যাডমিয়াম	k A D m i y a m	native	kAD
1.5970	ক্যাডিলাক	k A D i l a k	native	kAD
1.5882	ব্ল্যাকবেরি	b l A k b e r i	native	blA
1.5863	হেন্ডরিক	h e n D r i k	native	nDr
1.5541	ট্যাটন	T A T o n	native	TAT
1.5442	বিআইআইএসএসের	b i a i a i e s e s e r	native	sese
1.5207	সেন্টুকে	s e n T u k e	native	sen
1.5207	সেন্টুর	s e n T u r	native	sen
1.5207	সেন্টে	s e n T O e	native	sen
1.5207	পারসেন্ট	p a r s e n T	native	sen
1.5207	পার্সেন্টেজ	p a r s e n T e j	native	sen
1.5207	প্যাসেঞ্জার	p A s e nj a r	tatsama	sen
1.5207	বিএসএনএল	b i e s e n e l	native	sen
1.5207	বিএসএনএলের	b i e s e n e l e r	native	sen
1.4883	কেনাডার	k A n a D a r	native	kAn
1.4883	ক্যাং	k A ng	native	kAn
1.4883	পলিটিক্যান	p o l i T i k A n	native	kAn
1.4883	পেলিক্যান	p e l i k A n	native	kAn
1.4836	ওয়াসেক	O y a s e k	native	sek
1.4836	পারসেক	p a r s e k	native	sek
1.4822	আল্ট্রা	a l T r a	native	lTr
1.4807	ইউক্লিডের	i u kl i D e r	native	iDe
1.4807	অফসাইডে	o ph sh a i D e	native	iDe
1.4807	অফসাইডের	o ph sh a i D e r	native	iDe
1.4807	অর্কিডের	O r k i D e r	native	iDe
1.4807	ইডেন	i D e n	native	iDe
1.4807	ইডেনে	i D e n e	native	iDe
1.4807	ইডেনের	i D e n e r	native	iDe
1.4807	এইডের	e i D e r	native	iDe
1.4807	পিরামিডের	p i r a m i D e r	native	iDe
1.4807	প্রভিডেন্ট	pr O bh i D e n T	native	iDe
1.4807	মোবিডেটা	m O b i D e T a	native	iDe
1.4807	রিডেল	r i D e l	native	iDe
1.4807	ইউএসএইডের	i u e sh e i D e r	native	iDe
1.4740	ডিডি	D i D i	native	iDi
1.4740	অবিডিও	O b i D i O	native	iDi
1.4740	ইক্যুইটিবিডি	i k k u i T i b i D i	native	iDi
1.4740	ইডি	i D i	native	iDi
1.4740	ইডিয়ট	i D i y o T	native	iDi
1.4740	ইডিয়টস	i D i y o T sh	native	iDi
1.4740	ইনসিডিন	i n sh i D i n	native	iDi
1.4740	ইরিডিয়াম	i r i D i y a m	native	iDi
1.4740	বিডিআরের	b i D i a r e r	native	iDi
1.4740	ভিডিওগুলো	bh i D i O g u l O	native	iDi
1.4740	ভিডিওগুলোর	bh i D i O g u l O r	native	iDi
1.4740	পিআইডি	p i a i D i	native	iDi
1.4740	পিআইডিই	p i a i D i i	native	iDi
1.4740	পিইডিপি	p i i D i p i	native	iDi
1.4740	পিডি	p i D i	native	iDi
1.4740	পিডিপি	p i D i p i	native	iDi
1.4740	পিডিপির	p i D i p i r	native	iDi
1.4740	পিডিবি	p i D i b i	native	iDi
1.4740	পিডিবিকে	p i D i b i k e	native	iDi
1.4740	পিডিবির	p i D i b i r	native	iDi
1.4740	পিডিভিএসএ	p i D i bh i e s e	native	iDi
1.4740	প্রিজাইডিং	p ri j a i D i ng	native	iDi
1.4740	বাংলাপিডিয়া	b a ng l a p i D i y a	native	iDi
1.4740	বাংলাপিডিয়ার	b a ng l a p i D i a r	native	iDi
1.4740	বিডি	b i D i	native	iDi
1.4740	বিডির	b i D i r	native	iDi
1.4740	ভিজিডি	bh i j i D i	native	iDi
1.4740	ভিজিডির	bh i j i D i r	native	iDi
1.4740	ভিজিডিসহ	bh i j i D i sh o h O	native	iDi
1.4740	ভিডিওদৃশ্য	bh i D i O d ri sh sh o	tatsama	iDi
1.4740	ভিডিপি	bh i D i p i	native	iDi
1.4740	ভিডিপির	bh i D i p i r	native	iDi
1.4740	ভিডিসি	bh i D i s i	native	iDi
1.4740	ভিডিসির	bh i D i s i r	native	iDi
1.4740	মিডিয়াসংস্কৃতি	m i D i y a sh o ng s k ri t i	tatsama	iDi
1.4740	সিএনসিডি	sh i e n o sh i D i	native	iDi
1.4613	স্যু	s u	native	su
1.4515	বিসিএসআইআর	b i s i e s a i a r	native	sai
1.4515	বিসিএসআইআরের	b i s i e s a i a r e r	native	sai
1.4515	পিএসআই	p i e s a i	native	sai
1.4515	পিএসআইয়ের	p i e s a i y e r	native	sai
1.4515	ভিসাই	bh i s a i	native	sai
1.4492	কার্ডধারীদের	k a r D dh a r i d e r	native	rDd
1.4473	ট্যাং	T A ng	native	TAn
1.4473	ট্যাংকলরি	T A ng k l o r i	native	TAn
1.4473	ট্যাংকলরিতে	T A ng k l o r i t e	native	TAn
1.4473	ট্যাংকলরির	T A ng k l o r i r	native	TAn
1.4473	ট্যাংরা	T A ng r a	native	TAn
1.4473	ট্যান্ডন	T A n D o n	native	TAn
1.4473	ট্যান্ডল	T A n D o l	native	TAn
1.4441	সেমিতে	s e m i t e	native	sem
1.4441	সেমিনারকক্ষে	s e m i n a r k o kkh e	tatsama	sem
1.4441	সেমিনারগুলোতে	s e m i n a r g u l O t e	native	sem
1.4441	সেমিনারে	s e m i n a r e	native	sem
1.4441	বিএসএম	b i e s e m	native	sem
1.4441	বিএসএমএমইউ	b i e s e m e m i u	native	sem
1.4441	বিএসএমএমইউকে	b i e s e m e m i u k e	native	sem
1.4441	বিএসএমএমইউতে	b i e s e m e m i u t e	native	sem
1.4441	বিএসএমএমইউর	b i e s e m e m i u r	native	sem
1.4441	বিএসএমএর	b i e s e m e r	native	sem
1.3968	ব্যাটসম্যানে	b A T s m A n e	native	Tsm
1.3906	প্র্যাট	p r A T	native	rAT
1.3894	গোল্ডকাপ	g O l D k a p	native	lDk
1.3882	এডা	e D a	native	eDa
1.3882	বেডারা	b e D a r a	native	eDa
1.3881	আবশ্যিক	a b O s s i k	native	ssi
1.3881	পিএসসি	p i e s s i	native	ssi
1.3881	পিএসসিকে	p i e s s i k e	native	ssi
1.3881	পিএসসিতে	p i e s s i t e	native	ssi
1.3881	পিএসসির	p i e s s i r	native	ssi
1.3881	বিএসসি	b i e s s i	native	ssi
1.3881	বিএসসির	b i e s s i r	native	ssi
1.3881	বিএসসিসিএল	b i e s s i s i e l	native	ssi
1.3881	বিএসসিসিএলের	b i e s s i s i e l e r	native	ssi
1.3881	বিপিএসসি	b i p i e s s i	native	ssi
1.3881	বিপিএসসির	b i p i e s s i r	native	ssi
1.3807	প্যাডি	p A D i	native	ADi
1.3685	ট্রেনটিতে	T r e n T i t e	native	Tre
1.3685	ট্রেনারের	T r e n a r e r	native	Tre
1.3685	যুক্তরাষ্ট্রেরও	j u kt O r a sh T r e r O	tatsama	Tre
1.3685	রাষ্ট্রে	r a sh T r e	tatsama	Tre
1.3685	রাষ্ট্রের	r a sh T r e r	tatsama	Tre
1.3685	তটরেখা	t o T r e kh a	native	Tre
1.3685	ভিটরে	bh i T r e	native	Tre
1.3591	পিসের	p i s e r	native	ise
1.3591	ভিসেরা	bh i s e r a	native	ise
1.3591	ভিসেরার	bh i s e r a r	native	ise
1.3536	প্যাডের	p A D e r	native	ADe
1.3536	প্যাডেলের	p A D e l e r	native	ADe
1.3516	সংস্করণটি	sh o ng s k o r O n T i	tatsama	sko
1.3516	বিজ্ঞানমনস্কতা	b i g g a n m o n o s k o t a	tatsama	sko
1.3504	ইউনাইটেড	i u n a i T e D	native	TeD
1.3504	ইউনাইটেডও	i u n a i T e D o O	native	TeD
1.3504	ইনটিগ্রেটেড	i n T i gr e T e D o	native	TeD
1.3504	পাইরেটেড	p a i r e T e D	native	TeD
1.3504	প্রটেকটেড	pr O T e k o T e D	native	TeD
1.3504	প্রিহিটেড	p ri h i T e D	native	TeD
1.3481	এস্কান্দারের	e s k a nd a r e r	native	esk
1.3481	বেশখানিকটা	b e s kh a n i k T a	native	esk
1.3481	পিএসকে	p i e s k e	native	esk
1.3481	বিবিএসকে	b i b i e s k e	native	esk
1.3470	নাইটরা	n a i T r a	native	iTr
1.3422	গুডস	g u D s	native	uDs
1.3421	পন্ডস	p o n D sh	native	nDs
1.3421	পোল্যান্ডসহ	p O l A n D sh o h O	native	nDs
1.3421	ফান্ডস	ph a n D s	native	nDs
1.3421	ব্যান্ডসংগিত	b A n D sh o ng g i t	native	nDs
1.3341	ডিড	D i D	native	DiD
1.3341	ডিডকা	D i D k a	native	DiD
1.3257	বেলডারেনে	b e l D a r e n e	native	elD
1.3214	অডেটি	o D e T i	native	DeT
1.3214	ডেটা	D e T a	native	DeT
1.3182	পিসবোর্ড	p i s o b O r D o	native	rDo
1.3175	ক্যাপাসিটি	k A p a s i T i	native	siT
1.3175	ক্যাপাসিটির	k A p a s i T i r	native	siT
1.3175	পলিসিটা	p o l i s i T a	native	siT
1.3175	পাবলিসিটি	p a b l i s i T i	native	siT
1.3175	পিসিটি	p i s i T i	native	siT
1.3175	প্যারাসিটামল	p A r a s i T a m O l	native	siT
1.3175	নেসেসিটি	n e s e s i T i	native	siT
1.3147	মিডমাড	m i D m a D	native	iDm
1.3035	আবিস্কৃত	a b i s k ri t O	tatsama	isk
1.3035	বহিস্কৃত	b o h i s k ri t o	tatsama	isk
1.2804	ডি	D i	native	Di
1.2592	স্যাম্পলিং	s A mp l i ng	native	mpl
1.2554	প্যাসেজ	p A s e j	native	Ase
1.2554	প্যাসেজের	p A s e j e r	native	Ase
1.2441	চার্জার্সের	ch a r j a r s e r	native	rse
1.2441	পারসেপশন	p a r s e p sh o n	native	rse
1.2441	পেভারসের	p e bh a r s e r	native	rse
1.2441	ফিউচার্সের	ph i u ch a r s e r	native	rse
1.2441	ফোর্সেস	ph O r s e s	native	rse
1.2408	ফান্ডেড	ph a n D e D	native	DeD
1.2408	বন্ডেড	b o n D e D	native	DeD
1.2408	ব্র্যান্ডেড	b r A n D e D	native	DeD
1.2356	ফটোসেশন	ph o T O s e sh O n	native	ses
1.2356	ফটোসেশনে	ph o T O s e sh O n e	native	ses
1.2356	ফটোসেশনের	ph o T O s e sh O n e r	native	ses
1.2356	বিআইআইএসএস	b i a i a i e s e s	native	ses
1.2356	বিএসএস	b i e s e s	native	ses
1.2351	অন্যমনস্ক	o n n O m o n O s k O	native	skO
1.2351	পাসকোড	p a s k O D	native	skO
1.2351	বিজ্ঞানমনস্ক	b i g g a n m O n O s k O	tatsama	skO
1.2343	নার্সারী	n a r s a r i	native	rsa
1.2268	বডম্যানকে	b o D m A n k e	native	DmA
1.2215	বিএমসিসিআই	b i e m s i s i a i	native	emsi
1.2215	বিজেএমসি	b i j e e m s i	native	emsi
1.2215	বিজেএমসির	b i j e e m s i r	native	emsi
1.2205	ইউক্যাশ	i u k A sh	native	kAs
1.2205	ইউক্যাশে	i u k A sh e	native	kAs
1.2205	ইউক্যাশের	i u k A sh e r	native	kAs
1.2195	ইকুয়েডরের	i k u y e D O r e r	native	eDO
1.2186	ইন্ডিয়ার	i n D i a r	native	Dia
1.2186	কানাডিয়ান	k a n a D i a n	native	Dia
1.2050	ক্রসিং	kr o s i ng	native	sin
1.2050	ক্রসিংয়ে	kr o s i ng y e	native	sin
1.2050	ক্রসিংয়ের	kr o s i ng y e r	native	sin
1.2050	পাসিং	p a s i ng	native	sin
1.2050	পাাসিং	p a s i ng	native	sin
1.2050	ফোকাসিং	ph O k a s i ng	native	sin
1.1962	পাসকেল	p a s k e l	native	aske
1.1954	মেঢ্র	m e Dh r O	native	meD
1.1930	ল্যাটা	l A T a	native	lAT
1.1930	ল্যাটেল	l A T e l	native	lAT
1.1930	ল্যাঠা	l A Th a	native	lAT
1.1914	প্রুডেনশিয়াল	pr u D e n sh i y a l	native	Dens
1.1809	ইমিগ্র্যান্ট	i m i g r A n T	native	rAn
1.1809	গ্র্যান্ডোলি	g r A n D O l i	native	rAn
1.1809	ব্র্যাঞ্চ	b r A nch	tatsama	rAn
1.1809	ব্র্যান্ডে	b r A n D e	native	rAn
1.1689	ম্যাডান	m A D a n	native	ADa
1.1611	পাসকৃত	p a s k ri t O	tatsama	ask
1.1605	ট্যামট্যাম	T A m T A m	native	TAm
1.1605	ট্যামাই	T A m a i	native	TAm
1.1419	স্যাসন	s A s o n	native	Aso
1.1375	গুডলাক	g u D l a k	native	uDl
1.1343	ঢ্যাডড়া	Dh A D r a	native	ADr
1.1269	ট্যাকশাল	T A k sh a l	native	TAks
1.1221	ফার্মেসিকে	ph a r m e s i k e	native	esi
1.1221	ফার্মেসিতে	ph a r m e s i t e	native	esi
1.1221	ফার্মেসির	ph a r m e s i r	native	esi
1.1221	বিআইএসি	b i a i e s i	native	esi
1.1221	বিআইএসির	b i a i e s i r	native	esi
1.1221	চেসিস	ch e s i s	native	esi
1.1221	পাইরেসি	p a i r e s i	native	esi
1.1221	পাইরেসির	p a i r e s i r	native	esi
1.1221	পিএসইউ	p i e s i u	native	esi
1.1221	পিএসি	p i e s i	native	esi
1.1221	প্রগ্রেসিভ	pr O gr e s i bh	native	esi
1.1221	ফেসিয়াল	ph e s i y a l	native	esi
1.1221	বিএসইসি	b i e s i s i	native	esi
1.1221	বিএসইসির	b i e s i s i r	native	esi
1.1221	বিএসিসিও	b i e s i s i O	native	esi
1.1221	বিএসিসিওর	b i e s i s i O r	native	esi
1.1221	রেসিপি	r e s i p i	native	esi
1.1221	নেমেসিস	n e m e s i s	native	esi
1.1198	ইউএনএইডসের	i u e n e i D o sh e r	native	iDo
1.1198	সিডলকে	sh i D o l k e	native	iDo
1.1198	সিডলের	sh i D o l e r	native	iDo
1.1198	স্থন্ডিল	sth o n o i D o l	native	iDo
1.1191	সেজ	s e j O	native	sej
1.1147	কুদ্দুসকে	k u d d u s k e	native	ske
1.1147	চার্জার্সকে	ch a r j a r s k e	native	ske
1.1147	স্যামুয়েলসকে	s A m u y e l s k e	native	ske
1.1043	গুডবাই	g u D b a i	native	uDb
1.0986	বিশ্বরোডে	b i sh sh O r O D e	tatsama	ODe
1.0986	মোডে	m O D e	native	ODe
1.0986	ওডে	O D e	native	ODe
1.0986	বিশ্বরোডের	b i sh sh o r O D e r	tatsama	ODe
1.0986	মোডের	m O D e r	native	ODe
1.0986	লাওডে	l a O D e	native	ODe
1.0979	উডি	u D i	native	uDi
1.0979	কারমুডি	k a r m u D i	native	uDi
1.0979	ছুডি	chh u D i	native	uDi
1.0979	পুডিং	p u D i ng	native	uDi
1.0979	বলিউডি	b o l i u D i	native	uDi
1.0941	নামডাক	n a m D a k	native	mDa
1.0906	পিকেএসএফ	p i k e e s e ph	native	sep
1.0906	পিকেএসএফের	p i k e e s e ph e r	native	sep
1.0906	যোশেফ	j O s e ph	native	sep
1.0906	সেপ্টেম্বরে	s e p T e mb o r e	native	sep
1.0906	সেপ্টেম্বরেই	s e p T e mb o r e i	native	sep
1.0906	সেপ্টেম্বরেও	s e p T e mb o r e O	native	sep
1.0906	পিএসএফ	p i e s e ph	native	sep
1.0906	বিএএসএফ	b i e e s e ph	native	sep
1.0906	বিএসএফ	b i e s e ph	native	sep
1.0906	বিএসএফকে	b i e s e ph k e	native	sep
1.0906	বিএসএফের	b i e s e ph e r	native	sep
1.0880	পেনিনসুলা	p e n i n s u l a	native	nsu
1.0880	পেনিনসুলার	p e n i n s u l a r	native	nsu
1.0842	বিজেএসএর	b i j e e s e r	native	ser
1.0842	পিএসের	p i e s e r	native	ser
1.0842	বায়াসের	b a y a s e r	native	ser
1.0842	বিসিএএসের	b i s i e e s e r	native	ser
1.0842	ইমপালসের	i m p a l s e r	native	ser
1.0842	কুদ্দুসের	k u d d u s e r	native	ser
1.0842	কেমিক্যালসের	k e m i k e l s e r	native	ser
1.0842	ক্রসের	kr o s e r	native	ser
1.0842	নুডলসের	n u D o l s e r	native	ser
1.0842	নুডুলসের	n u D u l s e r	native	ser
1.0842	পাইলসের	p a i l s e r	native	ser
1.0842	পাসের	p a s e r	native	ser
1.0842	পিপলসের	p i p o l s e r	native	ser
1.0842	পিবিএসের	p i b i e s e r	native	ser
1.0842	পেসের	p e s e r	native	ser
1.0842	প্যালেসের	p A l e s e r	native	ser
1.0842	ফসফরাসের	ph o s ph o r a s e r	native	ser
1.0842	ফার্মসের	ph a r m s e r	native	ser
1.0842	ফিল্মসের	ph i l m s e r	native	ser
1.0842	ফোকাসের	ph O k a s e r	native	ser
1.0842	বিবিএসের	b i b i e s e r	native	ser
1.0842	বিসিএসের	b i s i e s e r	native	ser
1.0842	ভিআরএসের	bh i a r e s e r	native	ser
1.0842	ভয়েসের	bh o y e s e r	native	ser
1.0842	স্যান্তোসের	s A nt O s e r	native	ser
1.0842	স্যামুয়েলসের	s A m u y e l s e r	native	ser
1.0842	ক্যালকুলাসের	k A l k u l a s e r	native	ser
1.0786	চাপলে	ch a p l e	native	ple
1.0786	চাপলেই	ch a p l e i	native	ple
1.0786	ছাপলে	chh a p l e	native	ple
1.0786	ছাপলেই	chh a p l e i	native	ple
1.0786	ছাপলেন	chh a p l e n	native	ple
1.0786	মাপলে	m a p l e	native	ple
1.0783	মুদ্রাস্ফীতি	m u d r a s ph i t i	native	asp
1.0706	ইউএনওরা	i u e n O r a	native	iue
1.0706	ইউএনওসহ	i u e n O sh o h O	native	iue
1.0706	ইউএনডিপিসহ	i u e n D i p i sh o h O	native	iue
1.0706	ইউএসএইড	i u e sh e i D	native	iue
1.0706	ইউএসি	i u e sh i	native	iue
1.0706	নিউএজ	n i u e j	native	iue
1.0706	সিইউএফএল	sh i i u e ph e l	native	iue
1.0706	সিইউএফএলের	sh i i u e ph o e l e r	native	iue
1.0706	সিইউএস	sh i i u e sh o	native	iue
1.0706	সিইউএসের	sh i i u e sh e r	native	iue
1.0697	দুইডা	d u i D a	native	uiD
1.0697	সুইড	sh u i D	native	uiD
1.0674	রেড	r e D	native	reD
1.0674	প্যারেড	p A r e D	native	reD
1.0653	ওয়ের্ডার	O y e r D a r	native	rDa
1.0653	গদাধরডাংগি	g o d a dh o r D a ng g i	native	rDa
1.0653	চোরডারে	ch O r D a r e	native	rDa
1.0653	জর্ডানে	j o r D a n e	native	rDa
1.0653	তুলারডাংগা	t u l a r D a ng g a	native	rDa
1.0653	নাথুয়ারডাংগা	n a th u y a r D a ng g a	native	rDa
1.0653	বর্ডারস	b o r D a r s	native	rDa
1.0653	বর্ডারের	b o r D a r e r	native	rDa
1.0653	ভেরডার	bh e r D a r	native	rDa
1.0653	রামেরডাংগা	r a m e r D a ng g a	native	rDa
1.0653	সারডা	sh a r D a	native	rDa
1.0640	প্যালেসে	p A l e s e	native	ese
1.0640	দেছে	d e s e	native	ese
1.0640	কেসে	k e s e	native	ese
1.0640	পিএসএ	p i e s e	native	ese
1.0640	পেসে	p e s e	native	ese
1.0640	ফেসে	ph e s e	native	ese
1.0640	বিবিএসে	b i b i e s e	native	ese
1.0640	বিসিএসে	b i s i e s e	native	ese
1.0640	ভয়েসে	bh o y e s e	native	ese
1.0635	পিসিএল	p i s i e l	native	sie
1.0635	পিসিএলে	p i s i e l e	native	sie
1.0635	পিসিএলের	p i s i e l e r	native	sie
1.0635	বিজিএফসিএল	b i j i e ph s i e l	native	sie
1.0635	বিজিএফসিএলের	b i j i e ph s i e l e r	native	sie
1.0635	বিসিএএস	b i s i e e s	native	sie
1.0635	বিসিএফ	b i s i e ph	native	sie
