Word,Engine Output,Lexicon Answer,Final Output,Match,Notes
স্বাধীনতা,sh - a - dh - i - n - t - a,sh - a - dh - i - n - o - t - a,sh - a - dh - i - n - o - t - a,❌,
রক্ত,r - o - kt - O,r - o - kt - O,r - o - kt - O,✅,
তথ্য,t - o - t - th - O,t - O - t - th - O,t - O - t - th - O,❌,
শক্তি,sh - O - kt - i,sh - O - kt - i,sh - O - kt - i,✅,
করছি,k - o - r - chh - i,k - O - r - chh - i,k - O - r - chh - i,❌,
বাংলা,b - a - ng - l - a,b - a - ng - l - a,b - a - ng - l - a,✅,
আমার,a - m - a - r,a - m - a - r,a - m - a - r,✅,
নাম,n - a - m,n - a - m,n - a - m,✅,
কম,k - o - m,k - o - m,k - o - m,✅,
ভাত,bh - a - t,bh - a - t,bh - a - t,✅,
মাথা,m - a - th - a,m - a - th - a,m - a - th - a,✅,
চোখ,ch - O - kh,ch - O - kh,ch - O - kh,✅,
কান,k - a - n,k - a - n,k - a - n,✅,
নাক,n - a - k,n - a - k,n - a - k,✅,
মুখ,m - u - kh,m - u - kh,m - u - kh,✅,
হাত,h - a - t,h - a - t,h - a - t,✅,
পা,p - a,p - a,p - a,✅,
বুক,b - u - k,b - u - k,b - u - k,✅,
পেট,p - e - T,p - e - T,p - e - T,✅,
গলা,g - o - l - a,g - o - l - a,g - o - l - a,✅,
মা,m - a,m - a,m - a,✅,
বাবা,b - a - b - a,b - a - b - a,b - a - b - a,✅,
ভাই,bh - a - i,bh - a - i,bh - a - i,✅,
বোন,b - O - n,b - O - n,b - O - n,✅,
ছেলে,chh - e - l - e,chh - e - l - e,chh - e - l - e,✅,
মেয়ে,m - e - y - e,m - e - y - e,m - e - y - e,✅,
স্বামী,sh - a - m - i,sh - a - m - i,sh - a - m - i,✅,
স্ত্রী,s - t - r - i,s - t - r - i,s - t - r - i,✅,
দাদা,d - a - d - a,d - a - d - a,d - a - d - a,✅,
নানা,n - a - n - a,n - a - n - a,n - a - n - a,✅,
মাছ,m - a - chh,m - a - chh,m - a - chh,✅,
মাংস,m - a - ng - sh,m - a - ng - sh - O,m - a - ng - sh - O,❌,
ডাল,D - a - l,D - a - l,D - a - l,✅,
তরকারি,t - o - r - k - a - r - i,t - o - r - k - a - r - i,t - o - r - k - a - r - i,✅,
দুধ,d - u - dh,d - u - dh,d - u - dh,✅,
চা,ch - a,ch - a,ch - a,✅,
রুটি,r - u - T - i,r - u - T - i,r - u - T - i,✅,
ডিম,D - i - m,D - i - m,D - i - m,✅,
তেল,t - e - l,t - e - l,t - e - l,✅,
লবণ,l - o - b - O - n,l - o - b - O - n,l - o - b - O - n,✅,
এক,e - k,E - k,E - k,❌,
দুই,d - u - i,d - u - i,d - u - i,✅,
তিন,t - i - n,t - i - n,t - i - n,✅,
চার,ch - a - r,ch - a - r,ch - a - r,✅,
পাঁচ,p - a~ - ch,p - a~ - ch,p - a~ - ch,✅,
ছয়,chh - o - y,chh - o - y,chh - o - y,✅,
সাত,sh - a - t,sh - a - t,sh - a - t,✅,
আট,a - T,a - T,a - T,✅,
নয়,n - o - y,n - o - y,n - o - y,✅,
দশ,d - o - sh,d - o - sh,d - o - sh,✅,
শূন্য,sh - u - n - n - O,sh - u - n - n - O,sh - u - n - n - O,✅,
এগারো,e - g - a - r - O,E - g - a - r - O,E - g - a - r - O,❌,
বারো,b - a - r - O,b - a - r - O,b - a - r - O,✅,
তেরো,t - E - r - O,t - E - r - O,t - E - r - O,✅,
চৌদ্দ,ch - ou - d - d - O,ch - o - d - d - O,ch - o - d - d - O,❌,
পনেরো,p - O - n - e - r - O,p - O - n - e - r - O,p - O - n - e - r - O,✅,
ষোলো,sh - O - l - O,sh - O - l - O,sh - O - l - O,✅,
সতেরো,sh - O - t - e - r - O,sh - o - t - e - r - O,sh - o - t - e - r - O,❌,
আঠারো,a - Th - a - r - O,a - Th - a - r - O,a - Th - a - r - O,✅,
উনিশ,u - n - i - sh,u - n - i - sh,u - n - i - sh,✅,
কুড়ি,k - u - r - i,k - u - r - i,k - u - r - i,✅,
ত্রিশ,tr - i - sh,tr - i - sh,tr - i - sh,✅,
চল্লিশ,ch - O - l - l - i - sh,ch - O - l - l - i - sh,ch - O - l - l - i - sh,✅,
পঞ্চাশ,p - o - nch - a - sh,p - o - nch - a - sh,p - o - nch - a - sh,✅,
ষাট,sh - a - T,sh - a - T,sh - a - T,✅,
সত্তর,sh - o - tt - o - r,sh - O - tt - O - r,sh - O - tt - O - r,❌,
আশি,a - sh - i,a - sh - i,a - sh - i,✅,
নব্বই,n - o - b - b - o - i,n - O - b - b - O - i,n - O - b - b - O - i,❌,
একশ,e - k - o - sh,E - k - sh - O,E - k - sh - O,❌,
শত,sh - o - t,sh - o - t - O,sh - o - t - O,❌,
হাজার,h - a - j - a - r,h - a - j - a - r,h - a - j - a - r,✅,
লক্ষ,l - o - kkh - O,l - o - kkh - O,l - o - kkh - O,✅,
কোটি,k - O - T - i,k - O - T - i,k - O - T - i,✅,
প্রথম,pr - o - th - o - m,pr - O - th - O - m,pr - O - th - O - m,❌,
দ্বিতীয়,dw - i - t - i - y,dw - i - t - i - y - O,dw - i - t - i - y - O,❌,
তৃতীয়,t - ri - t - i - y,t - ri - t - i - y - O,t - ri - t - i - y - O,❌,
চতুর্থ,ch - O - t - u - r - th - O,ch - O - t - u - r - th - O,ch - O - t - u - r - th - O,✅,
পঞ্চম,p - o - nch - o - m,p - o - nch - O - m,p - o - nch - O - m,❌,
ষষ্ঠ,sh - o - shTh - O,sh - o - shTh - O,sh - o - shTh - O,✅,
সপ্তম,sh - o - p - t - o - m,sh - o - p - t - O - m,sh - o - p - t - O - m,❌,
অষ্টম,o - shT - o - m,o - shT - O - m,o - shT - O - m,❌,
নবম,n - o - b - O - m,n - o - b - O - m,n - o - b - O - m,✅,
দশম,d - o - sh - O - m,d - o - sh - O - m,d - o - sh - O - m,✅,
লাল,l - a - l,l - a - l,l - a - l,✅,
নীল,n - i - l,n - i - l,n - i - l,✅,
সবুজ,sh - O - b - u - j,sh - O - b - u - j,sh - O - b - u - j,✅,
হলুদ,h - O - l - u - d,h - O - l - u - d,h - O - l - u - d,✅,
কালো,k - a - l - O,k - a - l - O,k - a - l - O,✅,
সাদা,sh - a - d - a,sh - a - d - a,sh - a - d - a,✅,
বেগুনি,b - e - g - u - n - i,b - e - g - u - n - i,b - e - g - u - n - i,✅,
কমলা,k - o - m - l - a,k - o - m - l - a,k - o - m - l - a,✅,
খাওয়া,kh - a - O - y - a,kh - a - O - y - a,kh - a - O - y - a,✅,
যাওয়া,j - a - O - y - a,j - a - O - y - a,j - a - O - y - a,✅,
আসা,a - sh - a,a - sh - a,a - sh - a,✅,
করা,k - o - r - a,k - o - r - a,k - o - r - a,✅,
বলা,b - o - l - a,b - o - l - a,b - o - l - a,✅,
দেখা,d - E - kh - a,d - E - kh - a,d - E - kh - a,✅,
শোনা,sh - O - n - a,sh - O - n - a,sh - O - n - a,✅,
পড়া,p - o - r - a,p - o - r - a,p - o - r - a,✅,
লেখা,l - E - kh - a,l - E - kh - a,l - E - kh - a,✅,
ঘুমানো,gh - u - m - a - n - O,gh - u - m - a - n - O,gh - u - m - a - n - O,✅,
দেওয়া,d - e - O - y - a,d - e - O - y - a,d - e - O - y - a,✅,
নেওয়া,n - e - O - y - a,n - e - O - y - a,n - e - O - y - a,✅,
রাখা,r - a - kh - a,r - a - kh - a,r - a - kh - a,✅,
ধরা,dh - o - r - a,dh - o - r - a,dh - o - r - a,✅,
ছাড়া,chh - a - r - a,chh - a - r - a,chh - a - r - a,✅,
পাওয়া,p - a - O - y - a,p - a - O - y - a,p - a - O - y - a,✅,
হওয়া,h - o - O - y - a,h - o - O - y - a,h - o - O - y - a,✅,
জানা,j - a - n - a,j - a - n - a,j - a - n - a,✅,
বড়,b - o - r,b - o - r - O,b - o - r - O,❌,
ছোট,chh - O - T,chh - O - T - O,chh - O - T - O,❌,
গরম,g - o - r - O - m,g - o - r - O - m,g - o - r - O - m,✅,
ঠান্ডা,Th - a - n - D - a,Th - a - n - D - a,Th - a - n - D - a,✅,
নতুন,n - O - t - u - n,n - O - t - u - n,n - O - t - u - n,✅,
পুরনো,p - u - r - n - O,p - u - r - O - n - O,p - u - r - O - n - O,❌,
ভারী,bh - a - r - i,bh - a - r - i,bh - a - r - i,✅,
হালকা,h - a - l - k - a,h - a - l - k - a,h - a - l - k - a,✅,
ঢাকা,Dh - a - k - a,Dh - a - k - a,Dh - a - k - a,✅,
চট্টগ্রাম,ch - o - T - T - gr - a - m,ch - o - T - T - O - g - r - a - m,ch - o - T - T - O - g - r - a - m,❌,
রাজশাহী,r - a - j - sh - a - h - i,r - a - j - sh - a - h - i,r - a - j - sh - a - h - i,✅,
খুলনা,kh - u - l - n - a,kh - u - l - n - a,kh - u - l - n - a,✅,
সিলেট,sh - i - l - e - T,s - i - l - e - T,s - i - l - e - T,❌,
বরিশাল,b - O - r - i - sh - a - l,b - O - r - i - sh - a - l,b - O - r - i - sh - a - l,✅,
ময়মনসিংহ,m - o - y - m - n - sh - i - ng - h,m - o - y - m - O - n - sh - i - ng,m - o - y - m - O - n - sh - i - ng,❌,
রংপুর,r - O - ng - p - u - r,r - o - ng - p - u - r,r - o - ng - p - u - r,❌,
কুমিল্লা,k - u - m - i - l - l - a,k - u - m - i - l - l - a,k - u - m - i - l - l - a,✅,
নারায়ণগঞ্জ,n - a - r - a - y - n - g - o - nj - O,n - a - r - a - y - O - n - g - o - nj,n - a - r - a - y - O - n - g - o - nj,❌,
বৃষ্টি,b - ri - shT - i,b - ri - shT - i,b - ri - shT - i,✅,
রোদ,r - O - d,r - O - d,r - O - d,✅,
মেঘ,m - e - gh,m - e - gh,m - e - gh,✅,
ঝড়,jh - o - r,jh - o - r,jh - o - r,✅,
বন্যা,b - o - n - n - a,b - o - n - n - a,b - o - n - n - a,✅,
শীত,sh - i - t,sh - i - t,sh - i - t,✅,
গ্রীষ্ম,gr - i - sh - sh - O,gr - i - sh - sh - O,gr - i - sh - sh - O,✅,
গরু,g - O - r - u,g - O - r - u,g - O - r - u,✅,
ছাগল,chh - a - g - O - l,chh - a - g - O - l,chh - a - g - O - l,✅,
মুরগি,m - u - r - g - i,m - u - r - g - i,m - u - r - g - i,✅,
কুকুর,k - u - k - u - r,k - u - k - u - r,k - u - k - u - r,✅,
বিড়াল,b - i - r - a - l,b - i - r - a - l,b - i - r - a - l,✅,
হাতি,h - a - t - i,h - a - t - i,h - a - t - i,✅,
বাঘ,b - a - gh,b - a - gh,b - a - gh,✅,
সাপ,sh - a - p,sh - a - p,sh - a - p,✅,
পাখি,p - a - kh - i,p - a - kh - i,p - a - kh - i,✅,
স্কুল,s - k - u - l,s - k - u - l,s - k - u - l,✅,
কলেজ,k - O - l - e - j,k - o - l - e - j,k - o - l - e - j,❌,
বিশ্ববিদ্যালয়,b - i - sh - sh - b - i - d - d - a - l - o - y,b - i - sh - sh - O - b - i - d - d - a - l - o - y,b - i - sh - sh - O - b - i - d - d - a - l - o - y,❌,
শিক্ষক,sh - i - kkh - o - k,sh - i - kkh - o - k,sh - i - kkh - o - k,✅,
ছাত্র,chh - a - tr - O,chh - a - tr - O,chh - a - tr - O,✅,
পরীক্ষা,p - O - r - i - kkh - a,p - O - r - i - kkh - a,p - O - r - i - kkh - a,✅,
বই,b - O - i,b - O - i,b - O - i,✅,
কলম,k - o - l - O - m,k - o - l - O - m,k - o - l - O - m,✅,
ডাক্তার,D - a - kt - a - r,D - a - kt - a - r,D - a - kt - a - r,✅,
হাসপাতাল,h - a - sh - p - a - t - a - l,h - a - sh - p - a - t - a - l,h - a - sh - p - a - t - a - l,✅,
ওষুধ,O - sh - u - dh,O - sh - u - dh,O - sh - u - dh,✅,
জ্বর,j - o - r,j - o - r,j - o - r,✅,
ব্যথা,b - A - th - a,b - A - th - a,b - A - th - a,✅,
রোগ,r - O - g,r - O - g,r - O - g,✅,
চিকিৎসা,ch - i - k - i - t - sh - a,ch - i - k - i - t - sh - a,ch - i - k - i - t - sh - a,✅,
কম্পিউটার,k - O - mp - i - u - T - a - r,k - o - mp - i - u - T - a - r,k - o - mp - i - u - T - a - r,❌,
মোবাইল,m - O - b - a - i - l,m - O - b - a - i - l,m - O - b - a - i - l,✅,
ইন্টারনেট,i - n - T - a - r - n - e - T,i - n - T - a - r - n - e - T,i - n - T - a - r - n - e - T,✅,
টেলিভিশন,T - e - l - i - bh - i - sh - o - n,T - e - l - i - bh - i - sh - o - n,T - e - l - i - bh - i - sh - o - n,✅,
রেডিও,r - e - D - i - O,r - e - D - i - O,r - e - D - i - O,✅,
দুপুর,d - u - p - u - r,d - u - p - u - r,d - u - p - u - r,✅,
বিকেল,b - i - k - e - l,b - i - k - e - l,b - i - k - e - l,✅,
রাত,r - a - t,r - a - t,r - a - t,✅,
আজ,a - j,a - j,a - j,✅,
কাল,k - a - l,k - a - l,k - a - l,✅,
পরশু,p - o - r - sh - u,p - O - r - sh - u,p - O - r - sh - u,❌,
এখন,e - kh - o - n,E - kh - O - n,E - kh - O - n,❌,
তখন,t - o - kh - O - n,t - o - kh - O - n,t - o - kh - O - n,✅,
কে,k - e,k - e,k - e,✅,
কি,k - i,k - i,k - i,✅,
কী,k - i,k - i,k - i,✅,
কোথায়,k - O - th - a - y,k - O - th - a - y,k - O - th - a - y,✅,
কখন,k - o - kh - O - n,k - o - kh - O - n,k - o - kh - O - n,✅,
কেন,k - e - n,k - E - n - O,k - E - n - O,❌,
কীভাবে,k - i - bh - a - b - e,k - i - bh - a - b - e,k - i - bh - a - b - e,✅,
কত,k - o - t,k - o - t - O,k - o - t - O,❌,
কার,k - a - r,k - a - r,k - a - r,✅,
কোনটা,k - O - n - T - a,k - O - n - T - a,k - O - n - T - a,✅,
রবিবার,r - O - b - i - b - a - r,r - O - b - i - b - a - r,r - O - b - i - b - a - r,✅,
সোমবার,sh - O - m - b - a - r,sh - O - m - b - a - r,sh - O - m - b - a - r,✅,
মঙ্গলবার,m - o - ngg - l - b - a - r,m - O - ngg - O - l - b - a - r,m - O - ngg - O - l - b - a - r,❌,
বুধবার,b - u - dh - b - a - r,b - u - dh - b - a - r,b - u - dh - b - a - r,✅,
বৃহস্পতিবার,b - ri - h - o - s - p - t - i - b - a - r,b - ri - h - O - sh - p - O - t - i - b - a - r,b - ri - h - O - sh - p - O - t - i - b - a - r,❌,
শুক্রবার,sh - u - kr - b - a - r,sh - u - kr - O - b - a - r,sh - u - kr - O - b - a - r,❌,
শনিবার,sh - O - n - i - b - a - r,sh - O - n - i - b - a - r,sh - O - n - i - b - a - r,✅,
বৈশাখ,b - oi - sh - a - kh,b - oi - sh - a - kh,b - oi - sh - a - kh,✅,
জ্যৈষ্ঠ,j - oi - shTh - O,j - oi - shTh - O,j - oi - shTh - O,✅,
আষাঢ়,a - sh - a - r,a - sh - a - r,a - sh - a - r,✅,
শ্রাবণ,s - r - a - b - o - n,s - r - a - b - o - n,s - r - a - b - o - n,✅,
ভাদ্র,bh - a - d - r - O,bh - a - d - r - O,bh - a - d - r - O,✅,
আশ্বিন,a - sh - sh - i - n,a - sh - sh - i - n,a - sh - sh - i - n,✅,
কার্তিক,k - a - r - t - i - k,k - a - r - t - i - k,k - a - r - t - i - k,✅,
অগ্রহায়ণ,o - gr - h - a - y - O - n,o - gr - O - h - a - y - o - n,o - gr - O - h - a - y - o - n,❌,
পৌষ,p - ou - sh,p - ou - sh,p - ou - sh,✅,
মাঘ,m - a - gh,m - a - gh,m - a - gh,✅,
ফাল্গুন,ph - a - l - g - u - n,ph - a - l - g - u - n,ph - a - l - g - u - n,✅,
চৈত্র,ch - oi - tr - O,ch - oi - tr - O,ch - oi - tr - O,✅,
খুশি,kh - u - sh - i,kh - u - sh - i,kh - u - sh - i,✅,
দুঃখ,d - u - h - kh,d - u - h - kh - O,d - u - h - kh - O,❌,
রাগ,r - a - g,r - a - g,r - a - g,✅,
ভয়,bh - o - y,bh - o - y,bh - o - y,✅,
ভালোবাসা,bh - a - l - O - b - a - sh - a,bh - a - l - O - b - a - sh - a,bh - a - l - O - b - a - sh - a,✅,
আনন্দ,a - n - o - nd - O,a - n - O - nd - O,a - n - O - nd - O,❌,
দুশ্চিন্তা,d - u - sh - ch - i - nt - a,d - u - sh - ch - i - nt - a,d - u - sh - ch - i - nt - a,✅,
লজ্জা,l - o - j - j - a,l - o - j - j - a,l - o - j - j - a,✅,
ইঞ্জিনিয়ার,i - nj - i - n - i - y - a - r,i - nj - i - n - i - y - a - r,i - nj - i - n - i - y - a - r,✅,
ব্যবসায়ী,b - A - b - sh - a - y - i,b - A - b - o - sh - a - y - i,b - A - b - o - sh - a - y - i,❌,
কৃষক,k - ri - sh - o - k,k - ri - sh - o - k,k - ri - sh - o - k,✅,
জেলে,j - e - l - e,j - e - l - e,j - e - l - e,✅,
পুলিশ,p - u - l - i - sh,p - u - l - i - sh,p - u - l - i - sh,✅,
উকিল,u - k - i - l,u - k - i - l,u - k - i - l,✅,
রাঁধুনি,r - a~ - dh - u - n - i,r - a~ - dh - u - n - i,r - a~ - dh - u - n - i,✅,
দর্জি,d - O - r - j - i,d - O - r - j - i,d - O - r - j - i,✅,
চেয়ার,ch - e - y - a - r,ch - e - y - a - r,ch - e - y - a - r,✅,
টেবিল,T - e - b - i - l,T - e - b - i - l,T - e - b - i - l,✅,
খাট,kh - a - T,kh - a - T,kh - a - T,✅,
আলমারি,a - l - m - a - r - i,a - l - m - a - r - i,a - l - m - a - r - i,✅,
দরজা,d - o - r - j - a,d - o - r - j - a,d - o - r - j - a,✅,
জানালা,j - a - n - a - l - a,j - a - n - a - l - a,j - a - n - a - l - a,✅,
ছাদ,chh - a - d,chh - a - d,chh - a - d,✅,
দেয়াল,d - e - y - a - l,d - e - y - a - l,d - e - y - a - l,✅,
শাড়ি,sh - a - r - i,sh - a - r - i,sh - a - r - i,✅,
পাঞ্জাবি,p - a - nj - a - b - i,p - a - nj - a - b - i,p - a - nj - a - b - i,✅,
জামা,j - a - m - a,j - a - m - a,j - a - m - a,✅,
প্যান্ট,p - A - n - T - O,p - A - n - T,p - A - n - T,❌,
জুতা,j - u - t - a,j - u - t - a,j - u - t - a,✅,
টুপি,T - u - p - i,T - u - p - i,T - u - p - i,✅,
গাড়ি,g - a - r - i,g - a - r - i,g - a - r - i,✅,
বাস,b - a - sh,b - a - s,b - a - s,❌,
ব্যাস,b - A - sh,b - A - sh,b - A - sh,✅,
কাপ,k - a - p,k - a - p,k - a - p,✅,
ক্যাপ,k - A - p,k - A - p,k - A - p,✅,
বানিজ্য,b - a - n - i - j - j - O,b - a - n - i - j - j - O,b - a - n - i - j - j - O,✅,
জ্যান্ত,j - A - nt - O,j - A - nt - O,j - A - nt - O,✅,
গ্রাহ্য,gr - a - j - j - O,gr - a - j - j - O,gr - a - j - j - O,✅,
অসহ্য,o - sh - o - j - j - O,o - sh - O - j - jh - O,o - sh - O - j - jh - O,❌,
গ্রাহ্যতা,gr - a - j - j - t - a,gr - a - j - j - O - t - a,gr - a - j - j - O - t - a,❌,
ট্রেন,T - r - e - n,T - r - e - n,T - r - e - n,✅,
বিমান,b - i - m - a - n,b - i - m - a - n,b - i - m - a - n,✅,
নৌকা,n - ou - k - a,n - ou - k - a,n - ou - k - a,✅,
রিকশা,r - i - k - sh - a,r - i - k - sh - a,r - i - k - sh - a,✅,
নদী,n - O - d - i,n - O - d - i,n - O - d - i,✅,
পাহাড়,p - a - h - a - r,p - a - h - a - r,p - a - h - a - r,✅,
সাগর,sh - a - g - O - r,sh - a - g - O - r,sh - a - g - O - r,✅,
বন,b - o - n,b - o - n,b - o - n,✅,
মাটি,m - a - T - i,m - a - T - i,m - a - T - i,✅,
আকাশ,a - k - a - sh,a - k - a - sh,a - k - a - sh,✅,
চাঁদ,ch - a~ - d,ch - a~ - d,ch - a~ - d,✅,
সূর্য,sh - u - r - j - O,sh - u - r - j - O,sh - u - r - j - O,✅,
ধন্যবাদ,dh - o - n - n - b - a - d,dh - O - n - n - O - b - a - d,dh - O - n - n - O - b - a - d,❌,
দুঃখিত,d - u - h - kh - i - t,d - u - h - kh - i - t - O,d - u - h - kh - i - t - O,❌,
শুভ সকাল,sh - u - bh - | - sh - o - k - a - l,sh - u - bh - O - | - sh - o - k - a - l,sh - u - bh - O - | - sh - o - k - a - l,❌,
শুভ রাত্রি,sh - u - bh - | - r - a - tr - i,sh - u - bh - O - | - r - a - tr - i,sh - u - bh - O - | - r - a - tr - i,❌,
২৩,t - e - i - sh,t - e - i - sh,t - e - i - sh,✅,
৬৭,sh - a - t - sh - T - T - i,sh - a - t - sh - O - T - T - i,sh - a - t - sh - O - T - T - i,❌,
৩৪০৯,t - i - n - | - h - a - j - a - r - | - ch - a - r - sh - O - | - n - o - y,t - i - n - | - h - a - j - a - r - | - ch - a - r - sh - O - | - n - o - y,t - i - n - | - h - a - j - a - r - | - ch - a - r - sh - O - | - n - o - y,✅,
তিনি MBBS পাশ করেছেন,t - i - n - i - | - e - m - | - b - i - | - b - i - | - e - sh - | - p - a - sh - | - k - O - r - e - chh - e - n,t - i - n - i - | - e - m - | - b - i - | - b - i - | - e - s - | - p - a - sh - | - k - O - r - e - chh - e - n,t - i - n - i - | - e - m - | - b - i - | - b - i - | - e - s - | - p - a - sh - | - k - O - r - e - chh - e - n,❌,
সে HSC পরীক্ষা দিয়েছে,sh - e - | - e - i - ch - | - e - sh - | - sh - i - | - p - O - r - i - kkh - a - | - d - i - y - e - chh - e,sh - e - | - e - i - ch - | - e - s - | - s - i - | - p - O - r - i - kkh - a - | - d - i - y - e - chh - e,sh - e - | - e - i - ch - | - e - s - | - s - i - | - p - O - r - i - kkh - a - | - d - i - y - e - chh - e,❌,
Engr. করিম আসবেন,i - nj - i - n - i - y - a - r - | - k - O - r - i - m - | - a - sh - b - e - n,i - nj - i - n - i - y - a - r - | - k - O - r - i - m - | - a - sh - b - e - n,i - nj - i - n - i - y - a - r - | - k - O - r - i - m - | - a - sh - b - e - n,✅,
এস,e - sh,e - s,e - s,❌,
শ্বশুর,sh - o - sh - u - r,sh - O - sh - u - r,sh - O - sh - u - r,❌,
শাশুড়ি,sh - a - sh - u - r - i,sh - a - sh - u - r - i,sh - a - sh - u - r - i,✅,
ভাসুর,bh - a - sh - u - r,bh - a - sh - u - r,bh - a - sh - u - r,✅,
ননদ,n - o - n - o - d,n - o - n - O - d,n - o - n - O - d,❌,
দেবর,d - e - b - o - r,d - e - b - O - r,d - e - b - O - r,❌,
জা,j - a,j - a,j - a,✅,
ভাগ্নে,bh - a - g - n - e,bh - a - g - n - e,bh - a - g - n - e,✅,
ভাগ্নি,bh - a - g - n - i,bh - a - g - n - i,bh - a - g - n - i,✅,
ভাতিজা,bh - a - t - i - j - a,bh - a - t - i - j - a,bh - a - t - i - j - a,✅,
ভাতিজি,bh - a - t - i - j - i,bh - a - t - i - j - i,bh - a - t - i - j - i,✅,
খালা,kh - a - l - a,kh - a - l - a,kh - a - l - a,✅,
চাচা,ch - a - ch - a,ch - a - ch - a,ch - a - ch - a,✅,
চাচি,ch - a - ch - i,ch - a - ch - i,ch - a - ch - i,✅,
মামা,m - a - m - a,m - a - m - a,m - a - m - a,✅,
মামি,m - a - m - i,m - a - m - i,m - a - m - i,✅,
ফুফু,ph - u - ph - u,ph - u - ph - u,ph - u - ph - u,✅,
ফুফা,ph - u - ph - a,ph - u - ph - a,ph - u - ph - a,✅,
শ্যালক,sh - A - l - o - k,sh - A - l - o - k,sh - A - l - o - k,✅,
শ্যালিকা,sh - A - l - i - k - a,sh - A - l - i - k - a,sh - A - l - i - k - a,✅,
নাতি,n - a - t - i,n - a - t - i,n - a - t - i,✅,
ফুটবল,ph - u - T - b - O - l,ph - u - T - b - o - l,ph - u - T - b - o - l,❌,
ক্রিকেট,kr - i - k - e - T,kr - i - k - e - T,kr - i - k - e - T,✅,
দাবা,d - a - b - a,d - a - b - a,d - a - b - a,✅,
ব্যাডমিন্টন,b - A - D - m - i - n - T - o - n,b - A - D - m - i - n - T - o - n,b - A - D - m - i - n - T - o - n,✅,
সাঁতার,sh - a~ - t - a - r,sh - a~ - t - a - r,sh - a~ - t - a - r,✅,
দৌড়,d - ou - r,d - ou - r,d - ou - r,✅,
ভলিবল,bh - O - l - i - b - o - l,bh - O - l - i - b - o - l,bh - O - l - i - b - o - l,✅,
হকি,h - O - k - i,h - O - k - i,h - O - k - i,✅,
গান,g - a - n,g - a - n,g - a - n,✅,
নাচ,n - a - ch,n - a - ch,n - a - ch,✅,
নাটক,n - a - T - o - k,n - a - T - o - k,n - a - T - o - k,✅,
বাঁশি,b - a~ - sh - i,b - a~ - sh - i,b - a~ - sh - i,✅,
তবলা,t - o - b - l - a,t - o - b - l - a,t - o - b - l - a,✅,
হারমোনিয়াম,h - a - r - m - O - n - i - y - a - m,h - a - r - m - O - n - i - y - a - m,h - a - r - m - O - n - i - y - a - m,✅,
ঢোল,Dh - O - l,Dh - O - l,Dh - O - l,✅,
একতারা,e - k - t - a - r - a,E - k - t - a - r - a,E - k - t - a - r - a,❌,
আম,a - m,a - m,a - m,✅,
