line	word	phonemes	old_tag	new_tag	reason
210	এসএ	e s e	native	loanword	abbr
211	এসএন	e s e n	native	loanword	abbr
212	এসএম	e s e m	native	loanword	abbr
213	এসএস	e s e s	native	loanword	abbr
214	এসও	e s O	native	loanword	abbr
217	এসকাপ	e s k a p	native	loanword	rule
218	এসকাপের	e s k a p e r	native	loanword	rule
219	এসকাবেটর	e s k a b e T o r	native	loanword	rule
220	এসকে	e s k e	native	loanword	abbr
222	এসকোবার	e s k O b a r	native	proper_noun	rule
223	এসকোয়্যার	e s k O y A r	native	loanword	rule
225	এসজি	e s j i	native	loanword	abbr
226	এসজে	e s j e	native	loanword	abbr
227	এসটু	e s T u	native	loanword	rule
228	এসতিবালিস	e s t i b a l i s	native	proper_noun	rule
230	এসপানা	e s p a n a	native	proper_noun	rule
231	এসপানিওলকে	e s p a n i O l k e	native	proper_noun	rule
232	এসপানিওলের	e s p a n i O l e r	native	proper_noun	rule
233	এসপি	e s p i	native	loanword	abbr
234	এসপির	e s p i r	native	loanword	abbr
235	এসপিসহ	e s p i sh o h O	proper_noun	loanword	abbr
236	এসপ্যানিওলের	e s p A n i O l e r	native	proper_noun	rule
237	এসপ্রেসো	e s pr e s O	native	loanword	rule
238	এসফল্ট	e s ph o l T	native	loanword	rule
242	এসবি	e s b i	native	loanword	abbr
243	এসবির	e s b i r	native	loanword	abbr
253	এসসি	e s s i	native	loanword	abbr
254	এসার	e s a r	native	proper_noun	rule
255	এসারের	e s a r e r	native	proper_noun	rule
256	এসি	e s i	native	loanword	abbr
257	এসিআই	e s i a i	native	loanword	abbr
258	এসিআইয়ের	e s i a i y e r	native	loanword	abbr
259	এসিআর	e s i a r	native	loanword	abbr
260	এসিএম	e s i e m	native	loanword	abbr
261	এসিএস	e s i e s	native	loanword	abbr
262	এসিও	e s i O	native	loanword	abbr
263	এসিডদগ্ধ	e s i D d o g dh	native	loanword	rule
264	এসিডদগ্ধদের	e s i D d o g dh d e r	native	loanword	rule
265	এসিডি	e s i D i	native	loanword	abbr
266	এসিডিক	e s i D i k	native	loanword	rule
268	এসিতে	e s i t e	native	loanword	abbr
269	এসিপিইউপিবির	e s i p i i u p i b i r	native	loanword	abbr
270	এসিপিইউবি	e s i p i i u b i	native	loanword	abbr
271	এসিপিইউবির	e s i p i i u b i r	native	loanword	abbr
272	এসিভি	e s i bh i	native	loanword	abbr
273	এসির	e s i r	native	loanword	abbr
274	এসিল্যান্ড	e s i l A n D	native	loanword	rule
275	এসিস	e s i s	native	loanword	rule
276	এসিসি	e s i s i	native	loanword	abbr
277	এসিসিএ	e s i s i e	native	loanword	abbr
278	এসিসিএর	e s i s i e r	native	loanword	abbr
279	এসিসির	e s i s i r	native	loanword	abbr
280	এসিয়েন	e s i y e n	native	loanword	rule
281	এসিয়েনকে	e s i y e n k e	native	loanword	rule
296	এসেনশিয়াল	e sh e n sh i y a l	native	loanword	rule
298	এসোচেম	e s O ch e m	native	loanword	rule
300	এস্তুদিয়ান্তেস	e st o d i y a nt e s	compound	proper_noun	rule
301	এস্তুদিয়ান্তেসের	e st o d i y a nt e s e r	compound	proper_noun	rule
303	এস্তেবান	e st e b a n	native	proper_noun	rule
307	এস্তোনিয়া	e st O n i y a	native	proper_noun	rule
308	এস্তোনিয়ার	e st O n i y a r	native	proper_noun	rule
368	এয়ার	e a r	native	loanword	rule
369	এয়ারওয়েজ	e a r O y e j	native	loanword	rule
370	এয়ারওয়েজে	e y a r O y e j e	native	loanword	rule
371	এয়ারওয়েজের	e y a r O y e j e r	native	loanword	rule
372	এয়ারকন্ডিশন	e y a r k o n D i sh o n	native	loanword	rule
373	এয়ারকন্ডিশনার	e y a r k o n D i sh o n a r	compound	loanword	rule
374	এয়ারকন্ডিশনারের	e y a r k o n D i sh o n a r e r	compound	loanword	rule
375	এয়ারগান	e y a r g a n	native	loanword	rule
376	এয়ারটেল	e y a r T e l	native	proper_noun	rule
377	এয়ারপোর্ট	e a r p O r T	native	loanword	rule
378	এয়ারপোর্টগুলোতে	e y a r p O r T o g u l O t e	compound	loanword	rule
379	এয়ারপোর্টে	e y a r p O r T	native	loanword	rule
380	এয়ারপোর্টের	e y a r p O r T e r	native	loanword	rule
382	এয়ারলাইন	e y a r l a i n	native	loanword	rule
383	এয়ারলাইনস	e a r l a i n s	native	loanword	rule
384	এয়ারলাইনসকে	e y a r l a i n o s k e	native	loanword	rule
385	এয়ারলাইনসগুলো	e y a r l a i n o s g u l O	compound	loanword	rule
386	এয়ারলাইনসগুলোর	e y a r l a i n o s g u l O r	compound	loanword	rule
387	এয়ারলাইনসে	e y a r l a i n o s e	native	loanword	rule
388	এয়ারলাইনসের	e y a r l a i n o s e r	native	loanword	rule
390	এয়ারের	e y a r e r	native	loanword	rule
391	এয়ার–কন্ডিশন	e y a r k o n D i sh o n	native	loanword	rule
396	ওআইসি	O a i s i	proper_noun	loanword	abbr
397	ওআইসির	O a i s i r	proper_noun	loanword	abbr
400	ওআর	O a r	native	loanword	abbr
401	ওআরজি	O a r j i	proper_noun	loanword	abbr
402	ওআরজির	O a r j i r	proper_noun	loanword	abbr
403	ওআরসি	O a r s i	proper_noun	loanword	abbr
501	ওইসিডি	O i s i D i	proper_noun	loanword	abbr
590	ওএনএলএফ	O e n e l e ph	proper_noun	loanword	abbr
591	ওএনজিসি	O e n j i s i	proper_noun	loanword	abbr
592	ওএনজিসির	O e n j i s i r	proper_noun	loanword	abbr
593	ওএমআরডিএম	O e m a r D i e m	proper_noun	loanword	abbr
594	ওএমএস	O e m e s	proper_noun	loanword	abbr
595	ওএমএসসহ	O e m e s sh o h O	proper_noun	loanword	abbr
596	ওএমএসে	O e m e s e	proper_noun	loanword	abbr
597	ওএমএসের	O e m e s e r	proper_noun	loanword	abbr
598	ওএলইডি	O e l i D i	proper_noun	loanword	abbr
599	ওএলপিসির	O e l p i s i r	proper_noun	loanword	abbr
600	ওএস	O e s	native	loanword	abbr
601	ওএসএক্স	O e s e k s O	proper_noun	loanword	abbr
602	ওএসএন	O e s e n	proper_noun	loanword	abbr
603	ওএসডি	O e s D i	proper_noun	loanword	abbr
604	ওএসডির	O e s D i r	proper_noun	loanword	abbr
605	ওএসের	O e s e r	native	loanword	abbr
608	ওকলাহোমা	O k l a h O m a	native	proper_noun	rule
609	ওকস	O k s	native	loanword	rule
610	ওকাদা	O k a d a	native	proper_noun	rule
611	ওকাদার	O k a d a r	native	proper_noun	rule
612	ওকাম্পো	O k a mp O	native	proper_noun	rule
613	ওকাম্পোর	O k a mp O r	native	proper_noun	rule
622	ওকিনাওয়া	O k i n a O y a	native	proper_noun	rule
623	ওকিনাওয়ার	O k i n a O y a r	native	proper_noun	rule
627	ওকোনজো	O k O n j O	native	proper_noun	rule
656	ওজনিয়াক	O j o n i y a k	native	proper_noun	rule
657	ওজনিয়াকি	O j o n i y a k i	native	proper_noun	rule
658	ওজনিয়াকিকে	O j o n i y a k i k e	native	proper_noun	rule
659	ওজনিয়াকির	O j o n i y a k i r	native	proper_noun	rule
660	ওজনিয়াকের	O j o n i y a k e r	native	proper_noun	rule
668	ওজাওয়া	O j a O y a	native	proper_noun	rule
669	ওজাওয়াকে	O j a O y a k e	native	proper_noun	rule
670	ওজাওয়ার	O j a O y a r	native	proper_noun	rule
687	ওজোন	O j O n	native	loanword	rule
688	ওজোপাডিকো	O j O p a D i k O	native	proper_noun	rule
689	ওজোপাডিকোর	O j O p a D i k O r	native	proper_noun	rule
694	ওটমিল	O T m i l	native	loanword	rule
695	ওটস	O T s	native	loanword	rule
701	ওটামেন্ডি	O T a m e n D i	native	proper_noun	rule
706	ওটিজি	O T i j i	proper_noun	loanword	abbr
707	ওটিপিসি	O T i p i s i	proper_noun	loanword	abbr
708	ওটিপিসির	O T i p i s i r	proper_noun	loanword	abbr
710	ওটিসিতে	O T i s i t e	proper_noun	loanword	abbr
715	ওটেলিনি	O T e l i n i	native	proper_noun	rule
748	ওডি	O D i	native	loanword	abbr
749	ওডিআই	O D i a i	proper_noun	loanword	abbr
750	ওডিকলোন	O D i k l O n	native	loanword	rule
763	ওতুনবায়েভা	O t u n b a y e bh a	native	proper_noun	rule
764	ওতুনবায়েভাকে	O t u n b a y e bh a k e	native	proper_noun	rule
765	ওতুনবায়েভার	O t u n b a y e bh a r	native	proper_noun	rule
770	ওথেলো	O th e l O	native	proper_noun	rule
782	ওনলি	O n l i	native	loanword	rule
783	ওনাগাওয়া	O n a g a O y a	native	proper_noun	rule
807	ওপিএইচআইর	O p i e i ch a i r	proper_noun	loanword	abbr
808	ওপিএম	O p i e m	proper_noun	loanword	abbr
810	ওপিনিয়ন	O p i n i y o n	native	loanword	rule
811	ওপেক	O p e k	native	loanword	rule
812	ওপেকের	O p e k e r	native	loanword	rule
816	ওপেনার	O p e n a r	native	loanword	rule
817	ওপেনারই	O p e n a r o i	native	loanword	rule
818	ওপেনারকে	O p e n a r k e	native	loanword	rule
819	ওপেনারদের	O p e n a r d e r	native	loanword	rule
820	ওপেনাররা	O p e n a r r a	native	loanword	rule
821	ওপেনারের	O p e n a r e r	native	loanword	rule
822	ওপেনিং	O p e n i ng	native	loanword	rule
823	ওপেনিংয়ে	O p e n i ng y e	native	loanword	rule
824	ওপেনিংয়ের	O p e n i ng y e r	native	loanword	rule
825	ওপেনে	O p e n e	native	loanword	rule
826	ওপেনের	O p e n e r	native	loanword	rule
827	ওপেরা	O p e r a	native	loanword	rule
838	ওবামাকে	O b a m a k e	native	proper_noun	rule
839	ওবামাকেও	O b a m a k e O	native	proper_noun	rule
840	ওবামার	O b a m a r	native	proper_noun	rule
841	ওবামাস	O b a m a s	native	proper_noun	rule
842	ওবামাসহ	O b a m a sh o h O	native	proper_noun	rule
854	ওবি	O b i	native	loanword	abbr
855	ওবিসি	O b i s i	proper_noun	loanword	abbr
859	ওবেরয়	O b e r o y	native	proper_noun	rule
860	ওবেসিটি	O b e s i T i	native	loanword	rule
863	ওভার	O bh a r	native	loanword	rule
864	ওভারই	O bh a r i	native	loanword	rule
865	ওভারও	O bh a r O	native	loanword	rule
866	ওভারকোট	O bh a r k O T	native	loanword	rule
867	ওভারগুলোতে	O bh a r g u l O t e	native	loanword	rule
868	ওভারটা	O bh a r T a	native	loanword	rule
869	ওভারটাই	O bh a r T a i	native	loanword	rule
870	ওভারটাইম	O bh a r T a i m	native	loanword	rule
871	ওভারটাইমের	O bh a r T a i m e r	native	loanword	rule
872	ওভারটার	O bh a r T a r	native	loanword	rule
873	ওভারটেক	O bh a r T e k	native	loanword	rule
875	ওভারপাস	O bh a r p a s	native	loanword	rule
876	ওভারপাসের	O bh a r p a s e r	native	loanword	rule
877	ওভারপ্রতি	O bh a r pr O t i	native	loanword	rule
878	ওভারব্রিজে	O bh a r b ri j e	native	loanword	rule
879	ওভারব্রিজের	O bh a r b ri j e r	native	loanword	rule
880	ওভারলে	O bh a r l e	native	loanword	rule
881	ওভারলোড	O bh a r l O D	native	loanword	rule
882	ওভারসাইট	O bh a r s a i T	native	loanword	rule
883	ওভারসিজ	O bh a r s i j	native	loanword	rule
884	ওভারসিজের	O bh a r s i j e r	native	loanword	rule
885	ওভারসিস	O bh a r s i s	native	loanword	rule
886	ওভারহেড	O bh a r h e D	native	loanword	rule
887	ওভারি	O bh a r i	native	loanword	rule
888	ওভারেই	O bh a r e i	native	loanword	rule
889	ওভারেও	O bh a r e O	native	loanword	rule
890	ওভাল	O bh a l	native	loanword	rule
891	ওভালেই	O bh a l e i	native	loanword	rule
892	ওভালের	O bh a l e r	native	loanword	rule
893	ওভি	O bh i	native	loanword	abbr
894	ওভেনে	O bh e n e	native	loanword	rule
895	ওভেনের	O bh e n e r	native	loanword	rule
908	ওমলেট	O m l e T	native	loanword	rule
910	ওমান	O m a n	native	proper_noun	rule
911	ওমানি	O m a n i	native	proper_noun	rule
912	ওমানে	O m a n e	native	proper_noun	rule
913	ওমানের	O m a n e r	native	proper_noun	rule
919	ওমেগা	O m e g a	native	loanword	rule
921	ওমেন	O m e n	native	loanword	rule
922	ওমেনস	O m e n s	native	loanword	rule
923	ওমেনের	O m e n e r	native	loanword	rule
927	ওম্যান	O m A n	native	loanword	rule
936	ওরস্যালাইনসহ	O r s A l a i n sh o h O	native	loanword	rule
941	ওরাকল	O r a k o l	native	proper_noun	rule
942	ওরাকলের	O r a k o l e r	native	proper_noun	rule
946	ওরাল	O r a l	native	loanword	rule
947	ওরাসকম	O r a s k o m	native	proper_noun	rule
948	ওরাসকমের	O r a s k o m e r	native	proper_noun	rule
950	ওরিয়ন	O r i O n	native	proper_noun	rule
951	ওরিয়েন্ট	O r i y e n T	native	loanword	rule
952	ওরিয়েন্টাল	O r i y e n T a l	native	loanword	rule
953	ওরিয়েন্টেড	O r i y e n T e D	native	loanword	rule
954	ওরিয়েন্টেশন	O r i y e n T e sh o n	native	loanword	rule
959	ওর্তেগা	O r t e g a	native	proper_noun	rule
963	ওলগা	O l g a	native	proper_noun	rule
974	ওলসেংকি	O l s e ng k i	native	proper_noun	rule
975	ওলসেন	O l s e n	native	proper_noun	rule
996	ওলেগ	O l e g	native	proper_noun	rule
1004	ওল্ড	O l D	native	loanword	rule
1008	ওশান	O sh a n	native	loanword	rule
1037	ওশেন	O sh e n	native	loanword	rule
1038	ওশেনিয়া	O sh e n i y a	native	proper_noun	rule
1039	ওশেনিয়ান	O sh e n i y a n	native	proper_noun	rule
1040	ওশেনিয়ার	O sh e n i y a r	native	proper_noun	rule
1062	ওসাকার	O s a k a r	native	proper_noun	rule
1063	ওসাকায়	O s a k a y	native	proper_noun	rule
1064	ওসান	O s a n	native	loanword	rule
1068	ওসামু	O s a m u	native	proper_noun	rule
1071	ওসাসুনা	O s a s u n a	native	proper_noun	rule
1072	ওসাসুনাকে	O s a s u n a k e	native	proper_noun	rule
1073	ওসাসুনার	O s a s u n a r	native	proper_noun	rule
1074	ওসি	O s i	native	loanword	abbr
1075	ওসিআর	O s i a r	proper_noun	loanword	abbr
1076	ওসিএজি	O s i e j i	proper_noun	loanword	abbr
1077	ওসিএল	O s i e l	proper_noun	loanword	abbr
1078	ওসিএলের	O s i e l e r	proper_noun	loanword	abbr
1079	ওসিকে	O s i k e	proper_noun	loanword	abbr
1080	ওসিদের	O s i d e r	native	loanword	abbr
1081	ওসির	O s i r	native	loanword	abbr
1082	ওসিরা	O s i r a	proper_noun	loanword	abbr
1083	ওসিসহ	O s i sh o h O	proper_noun	loanword	abbr
1084	ওসিসিতে	O s i s i t e	proper_noun	loanword	abbr
1085	ওসিসির	O s i s i r	proper_noun	loanword	abbr
1086	ওসোরিও	O s O r i O	native	proper_noun	rule
1094	ওহাইও	O h a i O	native	proper_noun	rule
1095	ওহাইওর	O h a i O r	native	proper_noun	rule
1096	ওহাইয়ো	O h a i y O	native	proper_noun	rule
1114	ওৎসুচি	O t s u ch i	native	proper_noun	rule
1143	ওয়াং	O a ng	native	proper_noun	rule
1144	ওয়াংখেড়ে	O y a ng kh e r e	native	proper_noun	rule
1145	ওয়াংখেড়েতে	O y a ng kh e r e t e	native	proper_noun	rule
1146	ওয়াংখেড়ের	O y a ng kh e r e r	native	proper_noun	rule
1147	ওয়াংগারি	O y a ng g a r i	native	proper_noun	rule
1148	ওয়াংগারির	O y a ng g a r i r o	native	proper_noun	rule
1149	ওয়াংচুক	O y a ng ch u k	native	proper_noun	rule
1150	ওয়াংচুকের	O y a ng ch u k e r	native	proper_noun	rule
1151	ওয়াংমো	O y a ng m O	native	proper_noun	rule
1152	ওয়াংয়ের	O y a ng y e r	native	proper_noun	rule
1153	ওয়াই	O a i	native	loanword	rule
1154	ওয়াইএমসিএ	O y a i e m s i e	native	loanword	abbr
1155	ওয়াইএমসিএর	O y a i e m s i e r	native	loanword	abbr
1156	ওয়াইওমিংয়ের	O y a i O m i ng y e r	native	proper_noun	rule
1157	ওয়াইজ	O y a i j	native	loanword	rule
1158	ওয়াইজঘাট	O y a i j gh a T	native	proper_noun	rule
1159	ওয়াইজঘাটে	O y a i j gh a T	native	proper_noun	rule
1160	ওয়াইজঘাটের	O y a i j gh a T e r	native	proper_noun	rule
1161	ওয়াইজের	O y a i j e r	native	loanword	rule
1162	ওয়াইট	O y a i T	native	loanword	rule
1163	ওয়াইটিএন	O y a i T i e n	native	loanword	abbr
1164	ওয়াইড	O y a i D	native	loanword	rule
1166	ওয়াইন	O y a i n	native	loanword	rule
1167	ওয়াইনহাউজ	O y a i n h a u j	native	proper_noun	rule
1168	ওয়াইনহাউজের	O y a i n h a u j e r	native	proper_noun	rule
1169	ওয়াইপস	O y a i p s	native	loanword	rule
1170	ওয়াইফ	O y a i ph	native	loanword	rule
1171	ওয়াইফাং	O y a i ph a ng	native	proper_noun	rule
1172	ওয়াইফাই	O a i ph a i	native	loanword	rule
1173	ওয়াইফাইয়ের	O y a i ph a i y e r	native	loanword	rule
1176	ওয়াইল্ড	O y a i l D o	native	loanword	rule
1177	ওয়াইল্ডলাইফ	O y a i l D o l a i ph o	native	loanword	rule
1178	ওয়াইল্ডের	O y a i l D e r	native	loanword	rule
1179	ওয়াইস	O y a i s	native	loanword	rule
1180	ওয়াইসি	O y a i s i	native	loanword	abbr
1181	ওয়াও	O y a O	native	loanword	rule
1182	ওয়াওয়া	O y a O y a	native	loanword	rule
1183	ওয়াক	O y a k	native	loanword	rule
1184	ওয়াকআউট	O y a k a u T	native	loanword	rule
1185	ওয়াকআউটে	O y a k a u T e	native	loanword	rule
1186	ওয়াকআউটের	O y a k a u T e r	native	loanword	rule
1187	ওয়াকওভার	O y a k O bh a r	native	loanword	rule
1188	ওয়াকওয়ে	O y a k o O y e	native	loanword	rule
1190	ওয়াকম্যান	O y a k m A n o	native	loanword	rule
1191	ওয়াকম্যানের	O y a k m A n e r	native	loanword	rule
1192	ওয়াকস	O y a k s	native	loanword	rule
1197	ওয়াকিং	O y a k i ng	native	loanword	rule
1198	ওয়াকিটকি	O y a k i T o k i	native	loanword	rule
1206	ওয়াগ	O y a g	native	loanword	rule
1207	ওয়াগদের	O y a g d e r	native	loanword	rule
1208	ওয়াগন	O y a g o n	native	loanword	rule
1209	ওয়াগনে	O y a g o n e	native	loanword	rule
1210	ওয়াগনের	O y a g o n e r	native	loanword	rule
1214	ওয়াচ	O y a ch	native	loanword	rule
1215	ওয়াচগার্ড	O y a ch g a r D o	native	loanword	rule
1216	ওয়াচডগ	O y a ch D o g	native	loanword	rule
1217	ওয়াচডগের	O y a ch D o g e r	native	loanword	rule
1218	ওয়াচের	O y a ch e r	native	loanword	rule
1226	ওয়াজিরিস্তান	O y a j i r i st a n	native	proper_noun	rule
1227	ওয়াজিরিস্তানে	O y a j i r i st a n e	compound	proper_noun	rule
1228	ওয়াজিরিস্তানের	O y a j i r i st a n e r	compound	proper_noun	rule
1232	ওয়াট	O y a T	native	loanword	rule
1233	ওয়াটলিং	O y a T l i ng	native	proper_noun	rule
1234	ওয়াটলিংকে	O y a T l i ng k e	native	proper_noun	rule
1235	ওয়াটসন	O y a T s o n	native	proper_noun	rule
1236	ওয়াটসনও	O y a T s o n O	native	proper_noun	rule
1237	ওয়াটসনকে	O y a T s o n k e	native	proper_noun	rule
1238	ওয়াটসনরা	O y a T s o n r a	native	proper_noun	rule
1239	ওয়াটসনের	O y a T s o n e r	native	proper_noun	rule
1241	ওয়াটার	O y a T a r	native	loanword	rule
1242	ওয়াটারকে	O y a T a r k e	native	loanword	rule
1243	ওয়াটারগেট	O y a T a r g e T	native	proper_noun	rule
1244	ওয়াটারবোর্ডিং	O y a T a r b O r D i ng	compound	loanword	rule
1245	ওয়াটারলু	O y a T a r l u	native	proper_noun	rule
1246	ওয়াটারস	O y a T a r s	native	loanword	rule
1247	ওয়াটারে	O y a T a r e	native	loanword	rule
1248	ওয়াটারের	O y a T a r e r	native	loanword	rule
1249	ওয়াটার্স	O y a T a r s	native	loanword	rule
1250	ওয়াটের	O y a T e r	native	loanword	rule
1253	ওয়াতানাবে	O y a t a n a b e	native	proper_noun	rule
1254	ওয়াতানাবের	O y a t a n a b e r	native	proper_noun	rule
1255	ওয়াতারা	O y a t a r a	native	proper_noun	rule
1256	ওয়াতারাকে	O y a t a r a k e	native	proper_noun	rule
1257	ওয়াতারার	O y a t a r a r	native	proper_noun	rule
1258	ওয়াত্তানাইয়াগর্ন	O y a tt a n a i y a g o r n	compound	proper_noun	rule
1271	ওয়ান	O a n	native	loanword	rule
1272	ওয়ানওয়ে	O y a n O y e	native	loanword	rule
1273	ওয়ানকে	O y a n k e	native	loanword	rule
1274	ওয়ানডে	O y a n D e	native	loanword	rule
1275	ওয়ানডেই	O y a n D e i	native	loanword	rule
1276	ওয়ানডেও	O y a n D e O	native	loanword	rule
1277	ওয়ানডেটা	O y a n D e T a	native	loanword	rule
1278	ওয়ানডেটি	O y a n D e T i	native	loanword	rule
1279	ওয়ানডেটিতে	O y a n D e T i t e	native	loanword	rule
1280	ওয়ানডেতে	O y a n D e t e	native	loanword	rule
1281	ওয়ানডেতেই	O y a n D e t e i	native	loanword	rule
1282	ওয়ানডেতেও	O y a n D e t e O	native	loanword	rule
1283	ওয়ানডের	O y a n D e r	native	loanword	rule
1286	ওয়ানম্যান	O y a n m A n	native	loanword	rule
1290	ওয়ানে	O y a n e	native	loanword	rule
1291	ওয়ানের	O y a n e r	native	loanword	rule
1292	ওয়ান্ট	O y a n T	native	loanword	rule
1293	ওয়ান্টস	O y a n T s	native	loanword	rule
1294	ওয়ান্টেড	O y a n T D	native	loanword	rule
1295	ওয়ান্ডার	O y a n D a r	native	loanword	rule
1296	ওয়ান্ডারফুল	O y a n D a r ph u l	native	loanword	rule
1297	ওয়ান্ডারল্যান্ড	O y a n D a r l A n D	compound	loanword	rule
1298	ওয়ান্ডারল্যান্ডে	O y a n D a r l A n D e	compound	loanword	rule
1299	ওয়ান্ডারল্যান্ডের	O y a n D a r l A n D e r	compound	loanword	rule
1300	ওয়ান্ডারার্সের	O y a n D a r a r s e r	compound	loanword	rule
1301	ওয়ান্ডার্স	O y a n D a r s	native	loanword	rule
1305	ওয়াপস	O y a p O s	native	loanword	rule
1306	ওয়াপসাইট	O y a p s a i T	native	loanword	rule
1311	ওয়ার	O y a r	native	loanword	rule
1312	ওয়ারউইক	O y a r u i k	native	proper_noun	rule
1313	ওয়ারউইকের	O y a r u i k e r	native	proper_noun	rule
1317	ওয়ারনার	O y a r n a r	native	proper_noun	rule
1318	ওয়ারনারের	O y a r n a r e r	native	proper_noun	rule
1322	ওয়ারলেস	O y a r l e s	native	loanword	rule
1323	ওয়ারলেসের	O y a r l e s e r	native	loanword	rule
1324	ওয়ারল্যাস	O y a r l A s	native	loanword	rule
1325	ওয়ারস	O y a r s	native	loanword	rule
1326	ওয়ারসি	O y a r s i	native	proper_noun	rule
1327	ওয়ারহেড	O y a r h e D	native	loanword	rule
1340	ওয়ারিয়র্স	O y a r i y o r s	native	loanword	rule
1341	ওয়ারিয়র্সকে	O y a r i y o r s k e	native	loanword	rule
1342	ওয়ারিয়র্সে	O y a r i y o r s e	native	loanword	rule
1343	ওয়ারিয়র্সের	O y a r i y o r s e r	native	loanword	rule
1346	ওয়ারেন	O y a r e n	native	proper_noun	rule
1347	ওয়ারেন্ট	O y a r e n T	native	loanword	rule
1348	ওয়ারেন্টি	O y a r e n T i	native	loanword	rule
1349	ওয়ারেন্টিসহ	O y a r e n T i sh o h O	native	loanword	rule
1350	ওয়ারেন্টে	O y a r e n T e	native	loanword	rule
1351	ওয়ারেন্টের	O y a r e n T e r o	native	loanword	rule
1354	ওয়ার্ক	O a r k	native	loanword	rule
1355	ওয়ার্কআউট	O a r k a u T	native	loanword	rule
1356	ওয়ার্কওভার	O y a r k O bh a r	native	loanword	rule
1357	ওয়ার্কচার্জড	O y a r k ch a r j o D	native	loanword	rule
1358	ওয়ার্কশপ	O y a r k sh o p	native	loanword	rule
1359	ওয়ার্কশপে	O y a r k sh o p e	native	loanword	rule
1360	ওয়ার্কশপের	O y a r k sh o p e r	native	loanword	rule
1361	ওয়ার্কস	O a r k s	native	loanword	rule
1362	ওয়ার্কসের	O y a r k s e r	native	loanword	rule
1363	ওয়ার্কার	O y a r k a r	native	loanword	rule
1364	ওয়ার্কার্স	O a r k a r s	native	loanword	rule
1365	ওয়ার্কিং	O y a r k i ng	native	loanword	rule
